citizenid,employment_status,annual_income
56286,Self-Employed,54477.56
50714,Private Job,74728.74
54719,Self-Employed,41294.27
40405,Private Job,48805.38
24956,Government Job,33605.77
92329,Private Job,42784.63
84892,Private Job,80026.29
24904,Private Job,66528.4
59361,Private Job,66109.37
74431,Government Job,40240.26
66970,Private Job,33919.12
93783,Private Job,79133.12
66237,Private Job,82562.44
70828,Private Job,28268.52
73663,Self-Employed,57339.87
33011,Self-Employed,51829.01
28775,Self-Employed,70042.61
95167,Private Job,43409.49
55007,Private Job,62855.23
78389,Self-Employed,30037.55
26774,Private Job,75200.19
34735,Self-Employed,39560.52
34135,Self-Employed,44149.48
17652,Self-Employed,48072.82
81554,Private Job,37603.56
79727,Private Job,74342.78
26253,Self-Employed,29189.14
88629,Private Job,81945.5
61793,Private Job,81766.15
46893,Private Job,75469.1
67339,Self-Employed,5184289.55
94344,Private Job,83080.89
45387,Private Job,148148.48
54603,Private Job,71429.66
62257,Private Job,59317.51
32919,Self-Employed,69018.92
99190,Private Job,25240.96
68181,Private Job,66810.86
16423,Self-Employed,27563.64
65212,Government Job,79146.67
50947,Private Job,79688.08
87541,Government Job,31973.52
86061,Private Job,66457.41
74884,Private Job,155022.15
20213,Self-Employed,65756.77
31907,Self-Employed,55382.98
25990,Self-Employed,26526.44
27713,Self-Employed,31960.31
92626,Private Job,122781.94
88834,Private Job,65215.81
43652,Government Job,57306.69
12946,Private Job,27821.64
68428,Government Job,56570.96
42056,Government Job,76803.42
16009,Self-Employed,79318.58
28600,Private Job,67516.25
61783,Private Job,65421.3
51797,Private Job,71915.5
61122,Private Job,33138.25
44430,Private Job,1141689.03
14413,Private Job,36601.91
37123,Private Job,54629.86
39389,Private Job,52512.38
68879,Private Job,36246.01
46402,Private Job,66373.79
74697,Private Job,70206.25
61446,Self-Employed,41521.48
48375,Private Job,44089.16
37819,Private Job,40697.13
13580,Private Job,41994.82
47882,Government Job,47245.02
94265,Private Job,51906.55
40223,Private Job,54535.23
20930,Private Job,54579.38
28365,Private Job,62654.06
96026,Private Job,111276.99
12320,Private Job,45990.2
62242,Private Job,55708.4
36031,Government Job,55871.98
62439,Self-Employed,30898.14
48804,Private Job,63390.47
36985,Private Job,41968.23
50032,Government Job,27864.66
49296,Private Job,64473.17
47934,Private Job,27953.48
82299,Private Job,51954.8
19830,Private Job,62890.13
13319,Self-Employed,85913.75
66934,Self-Employed,56422.77
84089,Private Job,113912.18
10980,Private Job,44409.97
77578,Private Job,55012.88
71805,Private Job,36937.93
75407,Private Job,51715.01
75482,Private Job,78257.85
55418,Government Job,33303.53
35713,Private Job,57339.05
13803,Private Job,62869.21
37998,Self-Employed,44093.54
51535,Government Job,69890.76
40065,Private Job,65486.03
89974,Private Job,53303.35
48858,Private Job,64044.35
58833,Private Job,76256.26
84184,Private Job,61625.01
41029,Government Job,120746.62
22396,Private Job,59696.43
65865,Private Job,62907.03
94634,Private Job,66210.07
86582,Private Job,49592.38
73045,Self-Employed,76045.63
52210,Government Job,81358.12
77570,Private Job,62933.65
26424,Private Job,106894.96
27575,Private Job,79090.4
97509,Private Job,70423.66
97049,Private Job,50800.87
45077,Private Job,55257.06
80869,Private Job,59778.02
57613,Private Job,82282.98
74267,Private Job,64532.84
63628,Private Job,56021.18
52792,Private Job,32527.32
43753,Private Job,65679.71
30985,Private Job,122652.09
68993,Self-Employed,58838.32
14881,Private Job,82340.5
42011,Private Job,157270.54
24041,Private Job,45864.02
99092,Private Job,73522.06
78903,Private Job,42234.19
25697,Private Job,35478.39
15047,Self-Employed,25743.71
25969,Private Job,79620.67
67898,Private Job,52121.74
19666,Private Job,42152.89
52052,Private Job,49591.66
24726,Private Job,68422.95
31583,Self-Employed,48989.42
80322,Private Job,38769.59
49987,Self-Employed,30355.2
32271,Self-Employed,62925.28
39133,Private Job,84334.03
32811,Private Job,63722.46
89828,Private Job,82760.12
73611,Private Job,78558.16
88646,Private Job,34506.25
83430,Private Job,78621.57
72310,Private Job,25066.54
62407,Private Job,56088.09
13094,Self-Employed,56885.79
50871,Private Job,69336.33
22621,Self-Employed,71117.33
40520,Private Job,39131.8
23804,Private Job,78803.68
42644,Private Job,35925.83
49156,Private Job,83650.35
48476,Self-Employed,85092.76
61124,Government Job,67504.97
66602,Self-Employed,64569.3
33969,Private Job,84731.39
53072,Private Job,142134.46
38169,Government Job,39762.17
81717,Self-Employed,64202.28
76131,Self-Employed,49776.17
72816,Private Job,35222.17
65017,Private Job,32794.11
27282,Government Job,67722.86
32536,Private Job,38968.04
67657,Self-Employed,61561.15
12188,Self-Employed,39494.58
88167,Private Job,52683.39
93546,Government Job,70282.2
19273,Government Job,57216.39
83673,Private Job,78159.98
76885,Self-Employed,57104.17
62210,Private Job,36848.58
24660,Self-Employed,79723.14
20955,Private Job,50492.45
88191,Self-Employed,77915.14
34387,Private Job,39175.65
85585,Private Job,63806.3
53912,Self-Employed,35081.84
70779,Private Job,29884.06
19120,Private Job,85932.66
43838,Self-Employed,25642.39
48730,Self-Employed,61066.06
49439,Private Job,25819.41
29313,Private Job,58655.67
33325,Private Job,31094.49
98957,Private Job,73039.71
91394,Private Job,42855.12
82823,Private Job,46004.88
58986,Government Job,40391.38
28864,Government Job,31949.53
80613,Government Job,55520.52
27268,Private Job,52308.06
58218,Private Job,57905.35
46883,Private Job,63180.11
28702,Private Job,30407.48
67957,Private Job,50224.02
44923,Self-Employed,61145.8
73916,Private Job,44711.42
53340,Private Job,156360.78
32758,Private Job,36676.11
79587,Government Job,61984.32
83987,Private Job,175460.57
67044,Private Job,68823.44
58612,Private Job,70786.44
27605,Government Job,44862.61
68381,Private Job,31036.94
26446,Self-Employed,80850.39
80903,Government Job,92.75
48900,Private Job,109166.06
18557,Private Job,66956.31
77196,Self-Employed,82855.28
53914,Private Job,33880.07
13270,Private Job,65092.41
77859,Self-Employed,36977.78
44788,Self-Employed,77852.49
75899,Self-Employed,56691.28
66568,Government Job,57492.82
90315,Private Job,81774.66
69359,Private Job,43547.24
67931,Government Job,62759.66
47130,Private Job,33803.82
61909,Private Job,47153.82
47587,Self-Employed,36880.19
77210,Private Job,37279.96
73306,Private Job,65327.0
59587,Private Job,42475.7
12212,Private Job,40312.88
62863,Private Job,74288.74
14293,Private Job,53902.84
82658,Private Job,48179.62
17751,Private Job,74724.26
33388,Government Job,54811.22
81556,Private Job,74711.5
78087,Self-Employed,44426.72
67390,Private Job,83676.83
89769,Private Job,81343.2
84546,Self-Employed,75239.72
33127,Private Job,13839.23
45528,Self-Employed,37978.14
43812,Private Job,69377.39
53198,Self-Employed,74874.2
21668,Private Job,47166.58
21407,Self-Employed,33560.87
47731,Private Job,41448.36
86316,Self-Employed,60722.1
27415,Private Job,40358.28
79152,Private Job,65359.99
70651,Self-Employed,48903.82
97885,Private Job,38760.83
14731,Private Job,62400.66
75945,Private Job,29499.96
21791,Private Job,63114.94
56747,Private Job,84438.25
37790,Private Job,117137.79
87159,Self-Employed,68397.25
74138,Private Job,45012.72
81119,Private Job,79978.38
54567,Self-Employed,57198.54
99620,Self-Employed,57231.82
36565,Private Job,48077.33
80877,Private Job,28184.9
13016,Private Job,41467.32
75995,Private Job,74916.48
63350,Private Job,40844.19
97948,Private Job,50154.42
85014,Private Job,63673.51
33680,Private Job,42227.61
37367,Self-Employed,74522.1
15473,Self-Employed,79821.91
57835,Private Job,28763.25
59448,Private Job,116148.79
26329,Private Job,60050.05
88809,Self-Employed,46315.03
82380,Private Job,58814.19
30209,Private Job,149480.07
13241,Self-Employed,58356.24
47509,Self-Employed,25608.99
62301,Self-Employed,64556.07
71663,Government Job,38171.1
77805,Private Job,59106.44
69558,Private Job,79618.33
38727,Self-Employed,36729.59
60456,Self-Employed,41479.82
43296,Private Job,28882.65
30014,Private Job,54996.28
53735,Private Job,78075.99
27891,Self-Employed,58233.25
57108,Self-Employed,46501.41
67271,Private Job,80254.83
89013,Private Job,57468.43
40234,Private Job,84395.64
48326,Self-Employed,70763.84
99179,Self-Employed,80591.33
37443,Self-Employed,64546.97
48801,Private Job,85350.92
72500,Private Job,57051.26
19181,Private Job,64076.7
52034,Private Job,33186.92
26117,Self-Employed,82140.26
36750,Self-Employed,45434.1
78411,Self-Employed,65567.81
50145,Self-Employed,46992.05
74371,Private Job,78996.93
79159,Government Job,31731.86
70391,Self-Employed,79990.33
88269,Self-Employed,63168.52
97515,Private Job,83346.75
80291,Private Job,55719.37
73420,Private Job,55087.34
97659,Self-Employed,46885.21
57446,Private Job,45069.19
17363,Private Job,124268.33
47789,Private Job,112340.49
80460,Private Job,32523.19
27471,Private Job,145239.85
31700,Private Job,44965.01
24195,Private Job,62156.12
79130,Private Job,30149.24
21758,Government Job,36343.17
74269,Private Job,77456.71
76581,Self-Employed,30567.93
11866,Private Job,39718.63
71563,Private Job,25231.93
15707,Self-Employed,68846.96
25774,Private Job,76901.33
74653,Private Job,78651.68
24049,Private Job,79912.14
53295,Government Job,49621.48
32212,Private Job,59129.93
92091,Government Job,171492.73
66101,Private Job,66342.78
21854,Private Job,80793.09
98674,Private Job,73583.33
26461,Private Job,54834.28
83538,Private Job,56092.8
15671,Private Job,45514.88
32309,Private Job,25711.24
93237,Self-Employed,33806.83
10784,Private Job,45230.14
68135,Private Job,61959.97
88726,Government Job,68556.01
90737,Private Job,79352.08
63579,Private Job,58825.54
77698,Self-Employed,49042.58
98993,Self-Employed,67175.48
60863,Private Job,48903.55
36320,Self-Employed,31617.17
70543,Private Job,25250.89
64751,Private Job,68212.1
71655,Private Job,79844.75
89271,Self-Employed,66362.79
25692,Private Job,26680.86
54889,Private Job,38382.89
99918,Private Job,82728.47
19558,Private Job,68291.52
83235,Private Job,69985.06
15660,Private Job,74185.78
83456,Private Job,80667.76
46643,Private Job,51791.39
46061,Private Job,51238.64
28573,Private Job,26408.75
62856,Private Job,82166.57
17662,Private Job,32961.2
14664,Self-Employed,52490.82
18690,Private Job,61602.67
49733,Private Job,85616.86
42058,Private Job,49356.3
74568,Private Job,65791.37
19826,Private Job,83113.48
87945,Private Job,114631.57
28092,Private Job,59860.01
87334,Private Job,57594.96
39463,Private Job,59955.24
16748,Private Job,74889.66
24365,Private Job,27596.88
78454,Private Job,71366.85
97216,Private Job,35507.64
45261,Private Job,71801.79
99197,Private Job,73803.49
40051,Private Job,63195.57
55851,Government Job,51786.25
90884,Private Job,69682.12
94330,Private Job,26162.43
33910,Self-Employed,64573.0
56674,Self-Employed,39171.86
70768,Private Job,65286.96
29776,Private Job,33403.75
25975,Self-Employed,35953.21
93025,Government Job,52559.89
13737,Private Job,152383.93
72628,Private Job,57326.78
70735,Private Job,50395.23
30013,Private Job,62276.43
58748,Private Job,28261.08
80264,Private Job,36792.31
98144,Private Job,25223.6
11246,Government Job,59529.84
80483,Private Job,67129.89
38550,Private Job,54500.5
61740,Government Job,53134.82
80545,Self-Employed,50969.5
30106,Private Job,45494.06
42858,Private Job,60885.48
96697,Private Job,25374.37
86249,Private Job,61323.8
95243,Private Job,54882.41
23694,Private Job,63156.21
95169,Private Job,124826.07
24737,Private Job,77120.27
39034,Private Job,75552.17
18579,Private Job,74233.31
77502,Private Job,50100.82
79045,Private Job,48787.06
92619,Private Job,37619.1
31175,Self-Employed,26932.5
88719,Private Job,55814.77
31147,Private Job,84457.61
23244,Government Job,70882.5
21806,Private Job,58396.26
29899,Private Job,43180.84
46013,Private Job,32433.29
99778,Private Job,41091.66
40357,Government Job,57589.07
13050,Private Job,63067.63
54024,Private Job,47321.81
89370,Private Job,31399.44
37294,Private Job,41038.7
79427,Private Job,40678.54
10278,Private Job,57641.81
21337,Private Job,31302.37
65816,Self-Employed,42580.61
38156,Private Job,45959.54
56188,Private Job,57160.85
39182,Private Job,43222.08
96342,Private Job,34140.73
91222,Private Job,26553.95
97241,Private Job,35554.08
39308,Private Job,75308.99
39325,Private Job,46367.0
11480,Private Job,57877.75
90231,Self-Employed,54891.42
91123,Private Job,41852.44
13955,Private Job,76451.86
22600,Private Job,82256.63
94191,Self-Employed,37955.56
22786,Private Job,74253.15
48683,Private Job,71103.15
55103,Self-Employed,76134.61
34617,Self-Employed,49940.72
89416,Self-Employed,66862.12
29711,Private Job,36590.8
98911,Private Job,84055.32
19812,Private Job,69084.37
94448,Self-Employed,29667.7
43789,Private Job,169629.82
51736,Private Job,140359.72
90479,Private Job,78557.44
45248,Government Job,83503.57
19700,Private Job,45352.34
23981,Private Job,57872.83
45054,Private Job,85507.43
49273,Private Job,52507.7
19508,Private Job,65609.32
67327,Private Job,52599.53
27890,Private Job,29615.42
27320,Private Job,56083.56
92144,Private Job,75432.05
44181,Private Job,27532.58
78131,Private Job,51900.81
61200,Private Job,75159.18
56340,Private Job,46559.2
72893,Private Job,84621.51
92335,Private Job,48374.44
89053,Private Job,72772.12
43768,Self-Employed,39980.34
40282,Private Job,45275.05
53180,Self-Employed,68983.11
11348,Private Job,28479.25
31423,Private Job,30720.63
60136,Government Job,41273.09
40113,Private Job,40298.08
92238,Private Job,29028.35
94153,Private Job,84284.57
92528,Private Job,42905.04
65524,Self-Employed,69074.02
81237,Self-Employed,48975.16
24121,Self-Employed,85448.55
48542,Private Job,33562.17
86359,Government Job,47832.85
91940,Self-Employed,51334.05
93183,Private Job,68756.14
74531,Private Job,123040.97
65124,Government Job,55256.44
33722,Private Job,70769.13
24502,Self-Employed,76315.07
56833,Private Job,42642.09
52068,Government Job,74038.87
76910,Private Job,54983.77
87916,Private Job,29668.71
73231,Private Job,43118.62
97064,Self-Employed,73978.01
88918,Private Job,48724.0
76229,Private Job,30689.05
36760,Private Job,63939.37
22659,Self-Employed,9940.8
26264,Private Job,76868.34
62373,Self-Employed,33104.28
50296,Private Job,58123.33
97991,Private Job,37673.53
58251,Private Job,45603.33
22604,Private Job,50248.53
10618,Government Job,161026.12
70872,Private Job,25318.53
12530,Private Job,46698.28
79410,Self-Employed,134735.57
51985,Private Job,148947.73
33176,Private Job,43873.69
53404,Self-Employed,65770.5
27148,Private Job,78686.26
38177,Private Job,31420.59
64441,Self-Employed,54451.92
59388,Private Job,41877.65
43017,Private Job,85238.48
20254,Private Job,72600.98
59539,Government Job,32189.29
69511,Private Job,47498.74
18619,Private Job,31781.38
71815,Self-Employed,73008.56
17783,Government Job,54712.11
37125,Private Job,64484.5
39117,Private Job,60067.47
38178,Private Job,36138.71
61378,Government Job,25792.64
41463,Private Job,78083.84
85673,Private Job,30633.47
54907,Government Job,73279.15
11122,Self-Employed,36679.95
27888,Private Job,77019.2
23644,Self-Employed,61218.51
17884,Private Job,151597.33
88746,Self-Employed,49349.63
97543,Private Job,65159.49
21043,Private Job,41698.96
94408,Government Job,50534.55
50012,Private Job,75248.81
76447,Private Job,25545.87
56420,Government Job,39271.47
89696,Government Job,173936.29
73538,Private Job,70219.18
75999,Private Job,68886.61
51580,Private Job,34982.85
59144,Private Job,84962.35
33373,Private Job,66265.08
53135,Private Job,47653.84
51403,Self-Employed,46403.85
59523,Private Job,56883.91
81956,Private Job,27203.75
53911,Private Job,68587.75
28596,Self-Employed,29172.61
47654,Private Job,64833.49
96659,Private Job,73907.1
21751,Private Job,80221.65
86866,Private Job,34005.56
85384,Private Job,70473.08
90138,Self-Employed,84980.83
90188,Self-Employed,29136.08
96625,Private Job,26721.84
28142,Private Job,37958.04
93921,Self-Employed,92452.08
70214,Government Job,37506.28
82135,Private Job,44487.83
78704,Private Job,81336.61
80853,Private Job,66667.39
55239,Private Job,25653.58
43816,Government Job,55216.88
77181,Self-Employed,78418.67
29557,Self-Employed,57595.44
56858,Private Job,36847.53
20329,Private Job,83191.35
46349,Self-Employed,43748.17
29018,Self-Employed,46355.09
62578,Private Job,46734.27
83138,Self-Employed,49078.59
17890,Self-Employed,68234.52
31458,Private Job,44187.07
14009,Private Job,53367.63
49972,Private Job,41073.32
28259,Private Job,55983.09
31562,Private Job,82788.44
63921,Self-Employed,42665.25
88360,Private Job,74801.86
62694,Private Job,38357.43
97069,Private Job,33826.28
17281,Private Job,30558.7
43167,Self-Employed,84771.67
14549,Private Job,59795.37
48942,Private Job,56370.49
40376,Government Job,25439.21
73339,Private Job,54541.83
87861,Private Job,65425.49
80502,Private Job,50006.84
10712,Private Job,32864.03
59731,Private Job,41329.58
98133,Private Job,68561.7
38751,Private Job,53995.38
43704,Self-Employed,54237.63
82865,Private Job,27342.69
41384,Private Job,57288.67
66089,Private Job,50908.96
39818,Private Job,78657.03
44176,Private Job,48231.29
71803,Private Job,62163.31
68647,Self-Employed,82089.33
85089,Private Job,59539.2
11452,Private Job,26816.92
48478,Private Job,31196.93
98753,Self-Employed,83977.69
40201,Private Job,58678.01
22186,Private Job,36546.73
60942,Private Job,59633.25
62374,Government Job,83401.46
95083,Private Job,27734.57
56906,Self-Employed,57153.35
50207,Private Job,33304.64
75568,Private Job,52251.6
69008,Private Job,64928.32
43898,Private Job,53008.9
46385,Private Job,83731.01
47234,Private Job,60660.13
40819,Government Job,83779.59
88463,Private Job,44177.68
57389,Private Job,26288.2
90269,Private Job,34428.36
63081,Private Job,29365.57
68827,Private Job,70077.26
13102,Private Job,36581.32
27484,Private Job,71181.49
35721,Self-Employed,57791.43
25894,Self-Employed,38223.6
88316,Private Job,62419.95
51549,Private Job,25698.87
30385,Private Job,45418.35
63650,Private Job,72865.07
69041,Private Job,70702.32
19126,Private Job,73231.83
36337,Government Job,60840.17
85155,Private Job,59970.63
18913,Private Job,49849.42
65072,Private Job,82860.74
92888,Private Job,82918.67
60816,Private Job,25530.26
18081,Private Job,2112719.37
10880,Private Job,83695.67
93130,Government Job,78103.37
62661,Private Job,61966.48
20950,Private Job,44796.43
35857,Private Job,50666.12
93937,Private Job,76740.34
37805,Private Job,34008.26
71318,Government Job,62869.44
46781,Self-Employed,39082.74
47229,Self-Employed,48068.82
31273,Private Job,25304.76
21078,Private Job,130272.18
92659,Private Job,84132.82
96089,Private Job,31624.88
95904,Self-Employed,71572.12
26547,Private Job,59258.59
21562,Private Job,75509.1
55146,Private Job,56456.32
43448,Private Job,85047.57
76937,Private Job,62028.02
66732,Private Job,62600.92
93743,Private Job,81167.93
38101,Self-Employed,40739.22
33087,Self-Employed,47134.77
90913,Private Job,65564.07
46313,Private Job,33607.48
60267,Private Job,74386.12
57026,Private Job,61103.86
10124,Private Job,71051.83
71592,Private Job,85406.09
15860,Private Job,84588.81
89524,Private Job,52305.65
27820,Private Job,5370221.53
38792,Private Job,139213.25
42301,Self-Employed,42147.24
20917,Government Job,63692.45
66612,Private Job,68392.14
22532,Self-Employed,42978.59
12608,Private Job,42163.2
92158,Self-Employed,171864.19
23529,Government Job,38113.32
59653,Private Job,80474.97
12098,Private Job,31199.75
72427,Private Job,40030.52
85794,Private Job,63088.78
58654,Private Job,53522.1
99667,Private Job,32362.99
40055,Private Job,42659.96
94719,Self-Employed,49896.17
45721,Self-Employed,83480.24
38079,Private Job,49140.56
54477,Private Job,32064.35
17112,Private Job,84314.31
71425,Private Job,51475.05
77572,Self-Employed,33522.13
95161,Private Job,62275.26
44330,Private Job,74321.81
43775,Private Job,68342.28
75165,Private Job,44004.25
41381,Private Job,39576.55
64214,Self-Employed,78855.92
11640,Private Job,36826.12
94030,Private Job,71163.48
83270,Private Job,26402.57
83041,Self-Employed,50594.35
41851,Self-Employed,85080.48
85358,Private Job,63665.72
87927,Private Job,96131.59
64379,Private Job,43950.09
92867,Private Job,67685.79
45633,Self-Employed,46552.74
57988,Private Job,82269.07
41164,Private Job,39330.82
97695,Private Job,44519.01
80817,Private Job,67013.44
16188,Private Job,73512.9
50229,Government Job,108301.15
64234,Private Job,60164.78
59018,Private Job,42645.69
50744,Private Job,59958.46
53008,Private Job,38368.11
64038,Private Job,28502.94
44543,Private Job,81099.59
19197,Government Job,54349.47
10920,Private Job,54295.71
99404,Private Job,70431.74
16075,Private Job,59161.88
20742,Private Job,52711.5
25803,Self-Employed,73470.96
88109,Government Job,53976.51
15923,Private Job,80676.58
72418,Private Job,43680.23
84623,Private Job,27049.2
81812,Private Job,34100.29
65348,Private Job,74969.22
43967,Private Job,81498.79
22472,Private Job,173985.48
63926,Private Job,29579.95
43078,Government Job,80431.11
40274,Private Job,82564.51
55584,Private Job,71014.1
67738,Government Job,71426.37
94591,Private Job,25093.46
91953,Private Job,38584.99
22256,Private Job,38092.13
69831,Private Job,60470.99
45203,Self-Employed,65072.6
14779,Government Job,80001.96
38851,Private Job,54767.66
21147,Private Job,55562.45
83077,Private Job,28310.16
29482,Private Job,85843.53
44447,Private Job,82681.31
25654,Self-Employed,1041606.32
21947,Private Job,29390.5
25399,Self-Employed,59019.57
84548,Private Job,46217.71
38921,Private Job,51128.42
30142,Private Job,64752.49
35269,Self-Employed,50602.46
84977,Government Job,55230.43
33994,Self-Employed,41656.82
71020,Private Job,30025.03
53761,Private Job,71065.0
77732,Self-Employed,48081.55
83943,Private Job,79082.52
13638,Private Job,82643.83
31161,Private Job,30388.79
71875,Self-Employed,66746.32
12744,Self-Employed,75027.85
49270,Private Job,64469.32
83295,Government Job,45050.17
53181,Self-Employed,42355.9
90046,Private Job,53197.34
34542,Private Job,5899.16
24254,Self-Employed,40797.72
18795,Private Job,79639.41
72840,Private Job,27991.17
89667,Private Job,31873.13
55308,Self-Employed,61997.27
26349,Self-Employed,65158.56
15210,Self-Employed,69898.05
12107,Private Job,41810.78
50648,Self-Employed,42960.27
35899,Self-Employed,50232.85
40719,Private Job,39303.69
13727,Self-Employed,48010.83
20550,Private Job,67512.05
21762,Private Job,55415.06
89700,Private Job,83963.21
39640,Private Job,60355.3
55322,Private Job,131316.0
85471,Private Job,45044.97
55070,Private Job,36090.18
57239,Government Job,38411.77
66760,Private Job,25979.57
82939,Private Job,51970.56
24029,Private Job,83560.86
