citizenid,number_of_open_accounts,number_of_closed_accounts,total_loan_months,delinquent_months,total_dpd,enquiry_count,credit_utilization_ratio
69375,4.0,3.0,42.0,0.0,23.0,2.0,14.09
21550,5.0,2.0,80.0,1.0,20.0,1.0,48.9
50417,4.0,3.0,21.0,1.0,14.0,0.0,16.43
58827,2.0,2.0,69.0,1.0,0.0,0.0,31.92
59583,4.0,1.0,64.0,1.0,5.0,2.0,20.31
42289,5.0,1.0,48.0,1.0,14.0,1.0,25.36
35400,3.0,3.0,78.0,1.0,12.0,2.0,26.11
95847,2.0,1.0,61.0,1.0,18.0,2.0,22.07
49461,2.0,3.0,45.0,0.0,0.0,2.0,39.7
92748,4.0,3.0,42.0,1.0,0.0,0.0,49.65
79555,2.0,2.0,51.0,1.0,1.0,1.0,41.54
91235,3.0,1.0,69.0,0.0,8.0,2.0,30.47
98437,2.0,2.0,66.0,0.0,29.0,1.0,17.94
41591,5.0,3.0,31.0,1.0,16.0,2.0,28.75
53384,4.0,2.0,46.0,0.0,3.0,2.0,28.12
14492,4.0,1.0,31.0,1.0,5.0,0.0,21.49
45736,3.0,3.0,71.0,1.0,2.0,0.0,40.76
32767,4.0,3.0,18.0,0.0,28.0,2.0,46.29
83811,4.0,2.0,43.0,0.0,14.0,1.0,48.59
91445,2.0,3.0,59.0,1.0,27.0,0.0,35.08
82563,5.0,2.0,46.0,1.0,2.0,1.0,44.4
14643,3.0,1.0,40.0,1.0,21.0,0.0,40.31
20238,5.0,3.0,66.0,1.0,3.0,1.0,14.69
56046,5.0,3.0,19.0,1.0,3.0,1.0,15.69
27635,2.0,2.0,42.0,1.0,14.0,2.0,27.85
52601,5.0,1.0,14.0,1.0,18.0,0.0,34.34
37607,5.0,3.0,69.0,1.0,2.0,2.0,24.44
99821,3.0,3.0,41.0,1.0,20.0,1.0,17.16
99035,3.0,1.0,22.0,1.0,14.0,1.0,26.73
15641,3.0,3.0,44.0,1.0,6.0,2.0,29.08
55408,9.0,2.0,171.0,9.0,322.0,6.0,87.46
98365,5.0,3.0,51.0,1.0,3.0,2.0,42.85
24085,3.0,3.0,70.0,1.0,8.0,0.0,47.27
68711,5.0,1.0,77.0,0.0,24.0,2.0,23.77
13233,5.0,1.0,13.0,1.0,13.0,2.0,17.57
20942,2.0,2.0,64.0,0.0,6.0,0.0,26.3
12913,11.0,2.0,120.0,9.0,218.0,5.0,82.14
72746,2.0,1.0,30.0,1.0,18.0,2.0,44.53
73338,4.0,2.0,47.0,1.0,22.0,2.0,45.66
40417,5.0,3.0,16.0,0.0,0.0,1.0,12.66
23393,2.0,1.0,47.0,1.0,14.0,2.0,39.23
76256,4.0,2.0,17.0,0.0,29.0,1.0,40.3
63652,2.0,3.0,54.0,0.0,28.0,1.0,11.06
50279,3.0,2.0,66.0,0.0,27.0,0.0,11.71
39366,3.0,3.0,26.0,1.0,24.0,1.0,45.25
64996,5.0,3.0,78.0,0.0,21.0,0.0,25.83
44938,7.0,3.0,82.0,11.0,204.0,4.0,86.81
29794,3.0,2.0,33.0,1.0,21.0,1.0,31.28
42051,3.0,1.0,14.0,0.0,10.0,2.0,43.41
62922,5.0,2.0,83.0,1.0,12.0,2.0,27.62
48984,4.0,2.0,13.0,0.0,19.0,0.0,32.97
73476,10.0,2.0,73.0,5.0,190.0,8.0,85.86
66891,4.0,3.0,21.0,1.0,12.0,0.0,27.92
61398,3.0,1.0,32.0,1.0,9.0,0.0,13.63
25463,2.0,2.0,37.0,0.0,23.0,1.0,34.32
38021,7.0,5.0,175.0,9.0,251.0,7.0,81.63
72795,3.0,1.0,32.0,0.0,25.0,1.0,13.46
70969,3.0,1.0,39.0,1.0,28.0,1.0,43.91
84203,3.0,3.0,73.0,0.0,2.0,2.0,17.05
43101,5.0,2.0,15.0,1.0,23.0,2.0,17.01
96294,4.0,1.0,38.0,1.0,29.0,1.0,25.08
38863,5.0,2.0,34.0,0.0,16.0,0.0,38.43
58060,11.0,6.0,142.0,6.0,141.0,4.0,75.3
36871,5.0,2.0,69.0,0.0,12.0,0.0,33.53
86096,3.0,2.0,15.0,1.0,15.0,1.0,35.76
94493,4.0,1.0,26.0,0.0,2.0,0.0,23.83
81021,4.0,2.0,14.0,1.0,18.0,0.0,25.37
95874,4.0,1.0,63.0,0.0,5.0,1.0,13.37
60265,4.0,1.0,39.0,0.0,2.0,1.0,44.58
45412,5.0,2.0,40.0,0.0,24.0,0.0,22.15
33313,2.0,2.0,49.0,0.0,2.0,2.0,35.57
11956,3.0,2.0,73.0,1.0,28.0,1.0,22.24
60793,2.0,3.0,15.0,1.0,8.0,1.0,33.99
22725,2.0,3.0,72.0,1.0,15.0,1.0,25.53
21930,5.0,2.0,37.0,0.0,14.0,1.0,12.14
26898,2.0,3.0,48.0,0.0,20.0,1.0,40.65
39459,4.0,1.0,60.0,0.0,7.0,0.0,46.61
57056,3.0,2.0,37.0,1.0,5.0,1.0,47.77
79282,5.0,1.0,74.0,1.0,15.0,0.0,34.46
46830,5.0,1.0,36.0,1.0,14.0,2.0,37.96
59053,2.0,2.0,21.0,0.0,7.0,2.0,11.92
72930,4.0,3.0,13.0,0.0,26.0,2.0,41.06
38046,5.0,2.0,72.0,1.0,26.0,0.0,13.94
17726,4.0,1.0,33.0,0.0,23.0,2.0,24.23
66665,5.0,3.0,64.0,0.0,5.0,1.0,40.07
99469,5.0,3.0,31.0,0.0,14.0,2.0,11.41
11738,2.0,3.0,71.0,1.0,26.0,1.0,49.61
84513,4.0,2.0,52.0,0.0,26.0,1.0,10.92
70318,2.0,3.0,55.0,1.0,16.0,2.0,20.68
64990,5.0,2.0,44.0,1.0,25.0,1.0,15.97
26269,5.0,3.0,49.0,1.0,15.0,0.0,27.22
50623,3.0,1.0,51.0,1.0,25.0,1.0,12.23
53486,5.0,1.0,39.0,0.0,1.0,2.0,18.65
44917,5.0,1.0,35.0,0.0,28.0,1.0,38.65
78090,2.0,3.0,44.0,1.0,8.0,1.0,19.95
61858,4.0,2.0,59.0,0.0,22.0,0.0,13.26
44144,4.0,2.0,82.0,1.0,8.0,1.0,43.21
94529,4.0,2.0,81.0,1.0,17.0,1.0,24.64
58915,3.0,2.0,51.0,0.0,4.0,0.0,25.16
41091,5.0,1.0,75.0,0.0,15.0,1.0,45.71
18774,3.0,1.0,66.0,0.0,13.0,1.0,37.22
57722,5.0,1.0,79.0,1.0,3.0,2.0,31.17
77328,5.0,1.0,45.0,1.0,3.0,2.0,16.87
23800,3.0,1.0,31.0,1.0,1.0,1.0,28.59
21796,4.0,2.0,21.0,0.0,22.0,2.0,18.1
49085,5.0,1.0,32.0,0.0,12.0,2.0,19.1
55324,5.0,2.0,17.0,1.0,13.0,1.0,33.47
89248,5.0,3.0,67.0,1.0,13.0,2.0,10.83
76902,5.0,3.0,62.0,0.0,23.0,0.0,45.92
25351,2.0,3.0,48.0,0.0,12.0,0.0,19.22
71469,3.0,3.0,61.0,0.0,21.0,2.0,14.12
32657,3.0,1.0,42.0,0.0,19.0,1.0,14.77
81299,3.0,2.0,48.0,0.0,29.0,1.0,36.58
51683,6.0,3.0,75.0,4.0,118.0,9.0,96.42
53616,4.0,2.0,45.0,1.0,13.0,2.0,11.17
33692,2.0,1.0,30.0,0.0,5.0,0.0,33.37
38665,4.0,3.0,64.0,1.0,0.0,1.0,20.34
10347,5.0,3.0,69.0,1.0,29.0,0.0,21.75
53804,4.0,1.0,17.0,0.0,28.0,1.0,43.28
52698,4.0,1.0,78.0,0.0,2.0,1.0,48.77
75245,5.0,1.0,33.0,1.0,6.0,1.0,36.51
73164,7.0,3.0,138.0,6.0,161.0,5.0,79.93
80724,5.0,3.0,47.0,0.0,4.0,0.0,14.43
36779,4.0,3.0,22.0,1.0,11.0,1.0,37.88
13242,5.0,3.0,61.0,0.0,18.0,1.0,45.94
27146,4.0,2.0,23.0,1.0,28.0,0.0,38.68
71482,2.0,3.0,37.0,1.0,7.0,0.0,20.04
65933,4.0,1.0,47.0,1.0,6.0,1.0,12.22
51637,3.0,1.0,28.0,1.0,0.0,2.0,47.78
46284,5.0,1.0,16.0,0.0,24.0,2.0,21.21
27436,3.0,3.0,72.0,0.0,12.0,1.0,10.93
97141,4.0,3.0,26.0,0.0,4.0,0.0,20.1
39551,5.0,1.0,21.0,0.0,13.0,1.0,16.39
68211,4.0,3.0,37.0,0.0,13.0,1.0,46.98
22950,5.0,1.0,73.0,0.0,27.0,2.0,18.61
99804,4.0,1.0,50.0,1.0,6.0,0.0,44.78
54168,3.0,2.0,24.0,0.0,21.0,1.0,17.07
71219,4.0,3.0,27.0,0.0,4.0,2.0,38.75
63118,2.0,1.0,44.0,0.0,12.0,0.0,46.64
86093,4.0,1.0,65.0,1.0,23.0,2.0,44.7
25644,3.0,2.0,58.0,1.0,7.0,2.0,43.84
18768,5.0,2.0,17.0,0.0,10.0,1.0,46.06
34585,5.0,3.0,35.0,0.0,1.0,1.0,44.2
12449,3.0,1.0,54.0,0.0,19.0,1.0,35.99
84091,4.0,2.0,19.0,0.0,5.0,2.0,35.85
42480,3.0,1.0,62.0,1.0,1.0,2.0,18.62
47998,4.0,2.0,15.0,1.0,28.0,2.0,24.57
56286,5.0,1.0,80.0,1.0,16.0,0.0,26.39
50714,10.0,4.0,174.0,11.0,232.0,8.0,76.61
54719,5.0,1.0,67.0,0.0,24.0,1.0,20.72
40405,3.0,2.0,52.0,1.0,1.0,1.0,16.87
24956,5.0,3.0,65.0,0.0,0.0,2.0,10.98
92329,2.0,2.0,47.0,1.0,7.0,1.0,30.19
84892,4.0,2.0,16.0,0.0,3.0,2.0,40.22
24904,2.0,1.0,25.0,0.0,13.0,0.0,23.16
59361,5.0,3.0,44.0,0.0,3.0,1.0,11.97
74431,2.0,2.0,62.0,0.0,24.0,0.0,27.19
66970,3.0,2.0,82.0,0.0,22.0,1.0,32.64
93783,8.0,3.0,109.0,4.0,256.0,4.0,98.89
66237,4.0,3.0,32.0,0.0,19.0,1.0,32.48
70828,3.0,1.0,44.0,0.0,5.0,0.0,34.34
73663,4.0,2.0,45.0,0.0,8.0,1.0,41.01
33011,2.0,2.0,16.0,0.0,5.0,1.0,32.08
28775,5.0,1.0,56.0,1.0,4.0,1.0,44.15
95167,5.0,3.0,64.0,0.0,3.0,2.0,23.27
55007,4.0,1.0,69.0,1.0,13.0,0.0,31.59
78389,11.0,7.0,61.0,6.0,195.0,4.0,75.49
26774,2.0,1.0,15.0,0.0,23.0,2.0,44.29
34735,4.0,2.0,76.0,1.0,25.0,0.0,32.22
34135,4.0,3.0,61.0,1.0,23.0,2.0,16.95
17652,4.0,1.0,45.0,1.0,24.0,2.0,43.72
81554,4.0,3.0,37.0,1.0,25.0,0.0,35.2
79727,9.0,2.0,63.0,6.0,273.0,5.0,82.98
26253,5.0,2.0,61.0,0.0,1.0,1.0,16.77
88629,3.0,3.0,59.0,0.0,25.0,0.0,16.64
61793,4.0,1.0,81.0,0.0,5.0,1.0,44.41
46893,7.0,4.0,92.0,10.0,124.0,4.0,81.01
67339,4.0,3.0,31.0,0.0,29.0,0.0,20.18
94344,4.0,1.0,38.0,1.0,27.0,0.0,25.09
45387,3.0,3.0,33.0,0.0,22.0,0.0,47.28
54603,5.0,2.0,18.0,1.0,16.0,1.0,45.73
62257,2.0,1.0,77.0,1.0,20.0,0.0,35.64
32919,5.0,1.0,50.0,1.0,29.0,2.0,17.26
99190,5.0,3.0,83.0,0.0,23.0,2.0,43.01
68181,4.0,2.0,71.0,1.0,8.0,2.0,30.34
16423,2.0,2.0,15.0,1.0,8.0,0.0,16.74
65212,4.0,2.0,31.0,0.0,3.0,0.0,46.76
50947,3.0,2.0,43.0,1.0,12.0,1.0,20.76
87541,3.0,2.0,16.0,0.0,24.0,0.0,20.2
86061,5.0,2.0,45.0,0.0,18.0,2.0,11.47
74884,5.0,3.0,44.0,1.0,5.0,2.0,14.56
20213,4.0,3.0,74.0,1.0,20.0,0.0,13.49
31907,2.0,3.0,21.0,1.0,11.0,2.0,22.12
25990,10.0,4.0,68.0,7.0,109.0,4.0,98.13
27713,11.0,7.0,142.0,10.0,105.0,5.0,81.04
92626,4.0,1.0,79.0,1.0,13.0,0.0,48.93
88834,3.0,3.0,56.0,0.0,2.0,2.0,27.74
43652,3.0,1.0,63.0,0.0,1.0,2.0,31.2
12946,3.0,2.0,68.0,0.0,9.0,1.0,20.31
68428,5.0,2.0,27.0,1.0,10.0,0.0,25.34
42056,7.0,3.0,154.0,11.0,156.0,4.0,77.56
16009,4.0,3.0,65.0,1.0,13.0,2.0,12.55
28600,3.0,3.0,61.0,1.0,11.0,0.0,49.18
61783,3.0,1.0,24.0,1.0,14.0,1.0,31.27
51797,3.0,2.0,26.0,0.0,21.0,2.0,18.75
61122,4.0,1.0,65.0,1.0,29.0,2.0,10.76
44430,5.0,1.0,46.0,0.0,10.0,2.0,25.28
14413,2.0,3.0,13.0,0.0,25.0,2.0,35.52
37123,4.0,2.0,43.0,0.0,7.0,1.0,36.08
39389,3.0,3.0,23.0,1.0,6.0,0.0,41.73
68879,5.0,2.0,40.0,0.0,14.0,1.0,24.19
46402,5.0,1.0,61.0,1.0,2.0,1.0,45.0
74697,4.0,3.0,34.0,1.0,29.0,1.0,46.07
61446,2.0,3.0,59.0,0.0,17.0,2.0,25.06
48375,5.0,3.0,39.0,0.0,10.0,2.0,25.5
37819,3.0,3.0,79.0,0.0,15.0,0.0,20.45
13580,2.0,3.0,41.0,0.0,24.0,0.0,30.31
47882,2.0,2.0,79.0,0.0,20.0,2.0,28.19
94265,4.0,2.0,21.0,1.0,27.0,2.0,19.64
40223,2.0,1.0,59.0,0.0,18.0,1.0,25.92
20930,2.0,1.0,23.0,0.0,16.0,0.0,23.65
28365,5.0,1.0,31.0,1.0,5.0,1.0,20.98
96026,4.0,1.0,24.0,0.0,8.0,0.0,22.95
12320,4.0,3.0,48.0,0.0,28.0,1.0,36.21
62242,5.0,1.0,33.0,0.0,24.0,2.0,10.19
36031,2.0,3.0,81.0,0.0,28.0,0.0,10.91
62439,2.0,3.0,60.0,1.0,25.0,2.0,13.27
48804,5.0,1.0,76.0,1.0,14.0,2.0,45.99
36985,4.0,2.0,18.0,0.0,19.0,1.0,22.57
50032,3.0,3.0,46.0,0.0,22.0,0.0,34.38
49296,3.0,1.0,75.0,1.0,19.0,0.0,28.51
47934,5.0,3.0,12.0,0.0,27.0,2.0,26.53
82299,4.0,1.0,13.0,1.0,6.0,0.0,10.48
19830,5.0,3.0,83.0,0.0,18.0,0.0,44.22
13319,3.0,2.0,53.0,1.0,19.0,1.0,32.43
66934,3.0,2.0,40.0,1.0,3.0,2.0,11.69
84089,5.0,1.0,31.0,0.0,0.0,2.0,15.44
10980,5.0,3.0,82.0,1.0,29.0,2.0,14.44
77578,4.0,2.0,63.0,0.0,14.0,1.0,25.21
71805,3.0,1.0,19.0,0.0,8.0,2.0,22.52
75407,3.0,3.0,30.0,0.0,9.0,0.0,20.42
75482,2.0,2.0,20.0,1.0,8.0,1.0,27.25
55418,5.0,1.0,73.0,1.0,24.0,0.0,24.48
35713,2.0,3.0,72.0,0.0,25.0,2.0,37.57
13803,2.0,3.0,32.0,1.0,26.0,1.0,37.65
37998,3.0,2.0,70.0,0.0,9.0,0.0,23.35
51535,2.0,1.0,38.0,1.0,26.0,1.0,31.75
40065,2.0,1.0,49.0,1.0,10.0,1.0,10.21
89974,4.0,1.0,66.0,1.0,2.0,2.0,42.18
48858,4.0,3.0,66.0,1.0,10.0,1.0,27.43
58833,3.0,2.0,44.0,0.0,13.0,1.0,17.42
84184,4.0,1.0,52.0,1.0,26.0,0.0,19.09
41029,5.0,3.0,68.0,0.0,22.0,0.0,48.15
22396,4.0,1.0,20.0,1.0,11.0,1.0,45.3
65865,11.0,5.0,129.0,9.0,209.0,9.0,78.68
94634,9.0,5.0,98.0,7.0,274.0,4.0,82.65
86582,5.0,2.0,19.0,0.0,12.0,1.0,36.2
73045,11.0,7.0,111.0,10.0,101.0,6.0,87.99
52210,5.0,3.0,80.0,0.0,23.0,2.0,29.86
77570,4.0,2.0,19.0,1.0,12.0,1.0,17.21
26424,4.0,1.0,14.0,0.0,14.0,2.0,43.03
27575,5.0,2.0,76.0,1.0,10.0,2.0,41.26
97509,3.0,3.0,57.0,0.0,16.0,1.0,47.98
97049,2.0,1.0,17.0,0.0,12.0,0.0,41.2
45077,2.0,2.0,39.0,0.0,4.0,0.0,11.6
80869,6.0,6.0,122.0,6.0,137.0,9.0,92.72
57613,7.0,4.0,94.0,10.0,359.0,9.0,83.12
74267,2.0,2.0,47.0,1.0,1.0,1.0,33.0
63628,4.0,3.0,50.0,0.0,6.0,0.0,26.45
52792,5.0,1.0,21.0,0.0,21.0,0.0,30.78
43753,5.0,2.0,59.0,1.0,25.0,2.0,28.84
30985,5.0,3.0,35.0,0.0,12.0,1.0,46.79
68993,5.0,1.0,40.0,0.0,5.0,1.0,24.31
14881,5.0,2.0,14.0,1.0,14.0,2.0,35.11
42011,2.0,3.0,57.0,0.0,13.0,0.0,39.81
24041,2.0,2.0,25.0,0.0,21.0,2.0,39.74
99092,5.0,3.0,38.0,1.0,21.0,1.0,28.14
78903,4.0,2.0,82.0,0.0,25.0,2.0,39.41
25697,3.0,3.0,74.0,0.0,22.0,2.0,18.74
15047,3.0,3.0,28.0,0.0,8.0,1.0,33.71
25969,4.0,2.0,82.0,0.0,9.0,1.0,26.93
67898,4.0,1.0,81.0,1.0,14.0,0.0,29.41
19666,5.0,2.0,28.0,1.0,5.0,0.0,14.37
52052,2.0,3.0,17.0,1.0,25.0,0.0,38.97
24726,4.0,3.0,34.0,0.0,16.0,1.0,36.68
31583,3.0,2.0,38.0,1.0,3.0,2.0,33.62
80322,10.0,5.0,70.0,11.0,167.0,8.0,85.26
49987,5.0,1.0,29.0,0.0,6.0,1.0,20.16
32271,2.0,2.0,40.0,0.0,24.0,1.0,26.01
39133,2.0,3.0,83.0,1.0,27.0,1.0,37.56
32811,5.0,3.0,16.0,0.0,20.0,1.0,24.24
89828,4.0,2.0,61.0,1.0,24.0,2.0,14.24
73611,2.0,1.0,29.0,0.0,20.0,2.0,43.1
88646,4.0,2.0,20.0,0.0,1.0,2.0,35.73
83430,4.0,1.0,68.0,1.0,9.0,0.0,17.03
72310,3.0,1.0,61.0,0.0,0.0,1.0,40.47
62407,5.0,2.0,36.0,0.0,4.0,0.0,15.95
13094,3.0,3.0,51.0,1.0,21.0,1.0,15.83
50871,4.0,2.0,58.0,0.0,25.0,2.0,27.62
22621,9.0,7.0,101.0,6.0,138.0,5.0,89.65
40520,2.0,1.0,44.0,1.0,22.0,1.0,14.97
23804,4.0,1.0,60.0,0.0,5.0,1.0,29.15
42644,5.0,3.0,39.0,1.0,10.0,1.0,37.39
49156,3.0,3.0,49.0,1.0,11.0,0.0,17.5
48476,5.0,3.0,71.0,1.0,19.0,0.0,48.39
61124,2.0,3.0,73.0,0.0,25.0,0.0,30.9
66602,3.0,2.0,82.0,1.0,16.0,0.0,49.08
33969,5.0,3.0,61.0,1.0,24.0,0.0,49.14
53072,4.0,2.0,20.0,1.0,20.0,1.0,47.94
38169,5.0,3.0,60.0,1.0,18.0,2.0,22.71
81717,5.0,1.0,68.0,1.0,11.0,2.0,10.19
76131,5.0,2.0,62.0,0.0,24.0,0.0,37.54
72816,2.0,3.0,36.0,0.0,27.0,1.0,25.5
65017,4.0,1.0,56.0,1.0,24.0,0.0,10.84
27282,3.0,3.0,72.0,1.0,17.0,0.0,20.87
32536,3.0,3.0,83.0,1.0,0.0,1.0,33.65
67657,4.0,2.0,32.0,1.0,11.0,2.0,43.37
12188,3.0,3.0,19.0,0.0,13.0,1.0,13.64
88167,3.0,2.0,38.0,1.0,6.0,1.0,32.96
93546,3.0,1.0,47.0,0.0,22.0,1.0,36.84
19273,4.0,2.0,21.0,1.0,22.0,2.0,44.43
83673,3.0,1.0,50.0,0.0,10.0,1.0,40.65
76885,2.0,1.0,81.0,1.0,27.0,0.0,36.23
62210,3.0,1.0,51.0,1.0,21.0,2.0,45.96
24660,3.0,1.0,47.0,1.0,12.0,2.0,25.8
20955,3.0,3.0,74.0,0.0,19.0,1.0,40.5
88191,3.0,2.0,80.0,0.0,27.0,1.0,24.63
34387,2.0,1.0,53.0,1.0,17.0,1.0,16.35
85585,2.0,1.0,20.0,1.0,25.0,2.0,44.28
53912,3.0,2.0,77.0,0.0,26.0,2.0,34.48
70779,5.0,1.0,72.0,1.0,13.0,0.0,25.23
19120,5.0,2.0,18.0,0.0,21.0,2.0,15.14
43838,5.0,1.0,25.0,0.0,27.0,0.0,15.48
48730,2.0,3.0,59.0,1.0,25.0,0.0,21.07
49439,5.0,3.0,42.0,1.0,5.0,2.0,28.56
29313,3.0,3.0,27.0,1.0,7.0,0.0,17.22
33325,5.0,3.0,62.0,1.0,23.0,1.0,33.82
98957,5.0,2.0,70.0,0.0,21.0,1.0,35.88
91394,4.0,3.0,76.0,0.0,17.0,1.0,13.32
82823,3.0,2.0,25.0,1.0,20.0,1.0,27.39
58986,2.0,3.0,28.0,1.0,27.0,2.0,40.86
28864,4.0,1.0,25.0,0.0,26.0,2.0,30.24
80613,5.0,2.0,68.0,0.0,13.0,1.0,40.72
27268,2.0,2.0,62.0,1.0,28.0,1.0,13.68
58218,3.0,2.0,21.0,0.0,17.0,2.0,22.71
46883,2.0,1.0,64.0,1.0,27.0,0.0,49.09
28702,2.0,2.0,39.0,1.0,24.0,2.0,35.78
67957,2.0,2.0,34.0,0.0,14.0,0.0,46.7
44923,2.0,1.0,24.0,0.0,3.0,1.0,30.22
73916,3.0,1.0,30.0,0.0,12.0,2.0,25.28
53340,4.0,2.0,58.0,0.0,25.0,0.0,29.36
32758,5.0,1.0,68.0,0.0,23.0,2.0,39.12
79587,4.0,1.0,61.0,0.0,0.0,1.0,14.54
83987,3.0,1.0,83.0,1.0,11.0,0.0,24.99
67044,5.0,3.0,19.0,1.0,7.0,0.0,48.85
58612,4.0,1.0,40.0,0.0,26.0,1.0,17.82
27605,2.0,1.0,29.0,1.0,4.0,1.0,13.09
68381,6.0,4.0,63.0,9.0,104.0,9.0,92.1
26446,3.0,3.0,48.0,1.0,29.0,1.0,20.47
80903,2.0,1.0,70.0,0.0,22.0,0.0,30.2
48900,4.0,3.0,69.0,1.0,9.0,1.0,12.62
18557,2.0,3.0,37.0,0.0,7.0,1.0,44.32
77196,4.0,3.0,49.0,1.0,6.0,1.0,29.15
53914,4.0,1.0,53.0,0.0,7.0,0.0,43.7
13270,4.0,3.0,55.0,0.0,0.0,2.0,14.92
77859,3.0,3.0,65.0,0.0,12.0,2.0,49.7
44788,2.0,2.0,71.0,0.0,16.0,1.0,22.99
75899,2.0,1.0,62.0,1.0,10.0,0.0,25.47
